R1005FDF2		-1000.0	0	RL
R104B5A88		-1000.0	1000.0	B
R10527FBB	gene:34	0	1000.0	LR
R10537924	gene:153201;gene:206358	-1000.0	1000.0	B
R105E9F37	gene:10599	-1000.0	1000.0	B
R1074CEE		-1000.0	1000.0	B
R107695C8	gene:1056;gene:3990;gene:4023;gene:80339	-1000.0	0	RL
R107875F7	gene:1384	-1000.0	1000.0	B
R108B0C02	gene:8140	-1000.0	1000.0	B
R10924E16		-1000.0	1000.0	B
R109B9919	gene:6319	0	1000.0	LR
R109D58F7	gene:124583;gene:377841;gene:953;gene:956	-1000.0	0	RL
R10ADDA8D	gene:6578	-1000.0	1000.0	B
R10B74042		-1000.0	0	RL
R10BCDACC	gene:64078;gene:9154	0	1000.0	LR
R10C2331E	gene:1103	-1000.0	1000.0	B
R10C53375	gene:4669	0	1000.0	LR
R10CAB977		-1000.0	1000.0	B
R10D72B29	gene:9057	-1000.0	0	RL
R10DF1511	gene:8140	-1000.0	1000.0	B
R10E00C59	gene:9653	0	1000.0	LR
R10E848C1		0	1000.0	LR
R10EBC1D6		-1000.0	1000.0	B
R10F91056		-1000.0	0	RL
R11029C44	gene:1376	0	1000.0	LR
R111F26C9		0	1000.0	LR
R115178B9	gene:2806	-1000.0	1000.0	B
R115D4512		0	1000.0	LR
R11608C2D	gene:6579	-1000.0	1000.0	B
R1166B47A	gene:6579	-1000.0	1000.0	B
R116F103D	gene:84890	-1000.0	1000.0	B
R11744F83	gene:4357;gene:7263	0	1000.0	LR
R1178B99A	gene:216;gene:223;gene:224;gene:501;gene:8854	0	1000.0	LR
R11947305	gene:218;gene:220;gene:221;gene:222	-1000.0	1000.0	B
R1195710D	gene:8802+gene:8803	0	1000.0	LR
R119B00D	gene:126129;gene:1374;gene:1375	-1000.0	1000.0	B
R11A22F1B		-1000.0	0	RL
R11A3BDE3		0	1000.0	LR
R11A5B4DE	gene:4357	0	1000.0	LR
R11B413D0	gene:5095+gene:5096	-1000.0	0	RL
R11BFD445	gene:23556	0	1000.0	LR
R11C7A765	gene:10599	-1000.0	1000.0	B
R11D0C6BF	gene:3073;gene:3073+gene:3074;gene:3074	0	1000.0	LR
R11D4237E	gene:412	-1000.0	0	RL
R11D74BF0	gene:1962+gene:30+gene:3295+gene:51	0	1000.0	LR
R11E7A7D3		0	1000.0	LR
R11F04919	gene:5860	0	1000.0	LR
R1212F4AE		-1000.0	1000.0	B
R12180281		-1000.0	1000.0	B
R121989DB		-1000.0	0	RL
R121FF814		-1000.0	1000.0	B
R12352220	gene:570	-1000.0	1000.0	B
R123A4809		0	1000.0	LR
R123A58DD		-1000.0	0	RL
R124A12DB	gene:6576	-1000.0	1000.0	B
R125692AB	gene:60386	0	1000.0	LR
R125DC864	gene:6566	-1000.0	1000.0	B
R126A9A86	gene:8705	-1000.0	0	RL
R12732473	gene:6578	-1000.0	1000.0	B
R127BE1E1	gene:124+gene:125;gene:124+gene:126;gene:125+gene:126;gene:127;gene:128;gene:130;gene:131;gene:137872	-1000.0	1000.0	B
R12836BD8		0	1000.0	LR
R128B924F		0	1000.0	LR
R1295D6E3		0	1000.0	LR
R129C168C	gene:6523	-1000.0	1000.0	B
R129DF873	gene:60386	0	1000.0	LR
R12A328E8	gene:5238	-1000.0	1000.0	B
R12ABC74	gene:3177	-1000.0	1000.0	B
R12AE2D7	gene:1572	0	1000.0	LR
R12BD0E30	gene:1962+gene:30+gene:3295	0	1000.0	LR
R12CDCA0C	gene:10449+gene:3032;gene:30	-1000.0	0	RL
R12DD15F4	gene:10166;gene:83884	0	1000.0	LR
R12F79D6	gene:1892+gene:1962+gene:3030	0	1000.0	LR
R12FC81A3	gene:3030+gene:37	0	1000.0	LR
R12FF5E89	gene:51727	-1000.0	1000.0	B
